8300
# tracer: nop
#
# entries-in-buffer/entries-written: 13548/13548   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
     kworker/0:1-1492  [000] d... 577901.396526: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dN.. 577901.396643: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.396651: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.396658: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.396663: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.399442: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.399450: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.399457: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.399462: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.432110: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.432117: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dN.. 577901.432234: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.432242: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.432249: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.432254: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.435111: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.435119: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.435126: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.435132: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.465459: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.465466: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dNs. 577901.465520: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577901.465605: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.465612: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.465619: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.465625: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.468443: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.468451: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.468458: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.468464: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.498977: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.498984: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577901.501902: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.501910: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.501917: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.501922: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.535686: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.535694: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577901.535812: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.535819: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.535826: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.535832: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dNs. 577901.538567: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577901.538706: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.538713: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.538720: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.538726: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.568189: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.568196: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577901.568311: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.568319: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.568326: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.568331: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.571121: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.571130: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.571137: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.571142: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNh. 577901.668315: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577901.668405: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577901.673647: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577901.673651: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dN.. 577901.933271: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.933279: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577901.933397: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.933405: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.933412: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.933417: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577901.936442: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.936451: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577901.936458: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.936464: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNh. 577901.943534: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dNs. 577901.943811: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577901.943964: sched_wakeup_new: comm=tmux pid=8638 prio=120 success=1 target_cpu=007
           <...>-2397  [000] d... 577901.944747: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=004
           <...>-2397  [000] d... 577901.945460: sched_wakeup_new: comm=tmux pid=8639 prio=120 success=1 target_cpu=007
           <...>-2397  [000] dNs. 577901.945814: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.945833: sched_wakeup: comm=kworker/2:1 pid=4672 prio=120 success=1 target_cpu=002
           <...>-2397  [000] d... 577901.946298: sched_wakeup_new: comm=tmux pid=8640 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dN.. 577901.949179: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577901.949190: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577901.958819: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577901.958822: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/4-12    [000] d... 577901.973840: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577901.979829: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577901.979831: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577902.169266: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577902.169353: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577902.180953: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577902.180956: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577902.491019: sched_wakeup: comm=goa-daemon pid=1835 prio=120 success=1 target_cpu=000
      goa-daemon-1835  [000] .... 577902.491047: sys_futex(uaddr: 17c1850, op: 1, val: 1, utime: 0, uaddr2: 31f440344935ff, val3: 17c1d10)
      goa-daemon-1835  [000] d... 577902.491053: sched_wakeup: comm=pool pid=1839 prio=120 success=1 target_cpu=002
      goa-daemon-1835  [000] .... 577902.491054: sys_futex -> 0x1
          <idle>-0     [000] dNs. 577902.502145: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577902.502149: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577902.670280: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577902.670366: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577902.720759: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.720768: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577902.723760: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.723768: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577902.723776: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.723782: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNh. 577902.945154: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dNs. 577902.945415: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577902.945592: sched_wakeup_new: comm=tmux pid=8646 prio=120 success=1 target_cpu=007
           <...>-2397  [000] d... 577902.946353: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dNs. 577902.946417: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577902.947061: sched_wakeup_new: comm=tmux pid=8647 prio=120 success=1 target_cpu=007
           <...>-2397  [000] d... 577902.947872: sched_wakeup_new: comm=tmux pid=8648 prio=120 success=1 target_cpu=001
           <...>-2397  [000] d... 577902.951224: sched_wakeup_new: comm=tmux pid=8653 prio=120 success=1 target_cpu=001
           <...>-2397  [000] d... 577902.952634: sched_wakeup_new: comm=tmux pid=8655 prio=120 success=1 target_cpu=001
           <...>-2397  [000] d... 577902.953475: sched_wakeup: comm=cut pid=8652 prio=120 success=1 target_cpu=005
           <...>-2397  [000] d... 577902.953580: sched_wakeup_new: comm=tmux pid=8657 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577902.956374: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.956388: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577902.956400: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.956408: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dNs. 577902.956419: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d.s. 577902.962426: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577902.962568: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.962577: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577902.964259: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577902.964268: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
         rcuos/6-14    [000] d... 577902.965441: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577902.971430: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577902.971432: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/6-14    [000] d... 577902.977451: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577902.989439: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577902.989441: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577902.992438: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577902.992445: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dNs. 577903.138528: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577903.138588: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.138597: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577903.141690: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.141699: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577903.141706: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.141712: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNh. 577903.170796: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577903.170881: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577903.171866: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.171874: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dNs. 577903.174551: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577903.174795: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.174803: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577903.174810: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.174815: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577903.176563: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
          <idle>-0     [000] dNs. 577903.179553: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577903.179556: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 577903.196572: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dN.. 577903.205183: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.205190: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577903.205308: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.205315: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577903.205322: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.205327: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577903.208131: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.208139: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577903.208146: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.208151: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dNs. 577903.380675: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577903.380728: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.380736: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dN.. 577903.380847: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.380855: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577903.380861: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.380867: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577903.383822: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.383830: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577903.383838: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.383843: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577903.557723: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.557730: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dNs. 577903.557781: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577903.558004: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=003
           <...>-2397  [000] dN.. 577903.560954: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.560964: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577903.560972: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.560977: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577903.567803: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNh. 577903.672174: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577903.672261: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=003
       rcu_sched-7     [000] d... 577903.677865: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577903.680856: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577903.680859: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577903.860965: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNh. 577903.946822: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577903.976197: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.976205: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] d... 577903.976454: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=003
           <...>-2397  [000] dNs. 577903.977038: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577903.979523: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.979533: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577903.979541: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577903.979547: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
       rcu_sched-7     [000] d... 577903.988051: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577904.023990: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.023997: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dNs. 577904.024063: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577904.024256: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dNs. 577904.027067: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] dN.. 577904.027199: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.027207: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577904.027215: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.027221: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dN.. 577904.043877: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.043884: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] dNs. 577904.044077: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-2397  [000] d... 577904.044140: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dN.. 577904.047040: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.047049: sched_wakeup: comm=sshd pid=2084 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577904.047057: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.047063: sched_wakeup: comm=sshd pid=5649 prio=120 success=1 target_cpu=002
           <...>-2397  [000] dNs. 577904.047077: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.047089: sched_wakeup: comm=kworker/5:1 pid=1374 prio=120 success=1 target_cpu=005
           <...>-2397  [000] dN.. 577904.086807: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
     kworker/0:1-1492  [000] d... 577904.086815: sched_wakeup: comm=vi pid=8587 prio=120 success=1 target_cpu=004
           <...>-2397  [000] d... 577904.087046: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
           <...>-2397  [000] dNs. 577904.087101: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
