8300
# tracer: nop
#
# entries-in-buffer/entries-written: 13548/13548   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
          <idle>-0     [000] dNs. 577871.051191: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577871.051194: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577871.113228: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577871.113230: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577871.613530: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577871.613535: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577871.729500: sched_wakeup: comm=tmut pid=8300 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577871.729507: sys_nanosleep -> 0x0
           <...>-8300  [000] d... 577871.729543: sched_wakeup_new: comm=tmut pid=8330 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577871.729546: sys_nanosleep(rqtp: 7fffc2877070, rmtp: 7fffc2877070)
           <...>-8330  [000] .... 577871.729552: sys_futex(uaddr: 6010c0, op: 80, val: 2, utime: 0, uaddr2: 6010c0, val3: 0)
          <idle>-0     [000] dNs. 577871.841673: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577872.114832: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577872.114835: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577872.472666: sched_wakeup: comm=goa-daemon pid=1835 prio=120 success=1 target_cpu=000
      goa-daemon-1835  [000] .... 577872.472691: sys_futex(uaddr: 17c1850, op: 1, val: 1, utime: 0, uaddr2: 31ee20533672ee, val3: 17c1d10)
      goa-daemon-1835  [000] d... 577872.472698: sched_wakeup: comm=pool pid=1839 prio=120 success=1 target_cpu=002
      goa-daemon-1835  [000] .... 577872.472698: sys_futex -> 0x1
         rcuos/2-10    [000] d... 577872.478075: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577872.484055: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577872.484060: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577872.621156: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNh. 577872.730207: sched_wakeup: comm=tmut pid=8300 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577872.730212: sys_nanosleep -> 0x0
           <...>-8300  [000] d... 577872.730251: sched_wakeup_new: comm=tmut pid=8334 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577872.730255: sys_nanosleep(rqtp: 7fffc2877070, rmtp: 7fffc2877070)
           <...>-8334  [000] .... 577872.730261: sys_futex(uaddr: 6010c0, op: 80, val: 2, utime: 0, uaddr2: 6010c0, val3: 0)
          <idle>-0     [000] dNh. 577872.768229: sched_wakeup: comm=watchdog/0 pid=26 prio=0 success=1 target_cpu=000
         rcuos/2-10    [000] d... 577872.908006: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
           <...>-8335  [000] .... 577872.912101: sched_process_exit: comm=sh pid=8335 prio=120
          <idle>-0     [000] dNs. 577872.913317: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577872.913323: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577872.913326: sched_wakeup: comm=ksoftirqd/0 pid=3 prio=120 success=1 target_cpu=000
           <...>-8342  [000] d... 577872.914776: sched_wakeup: comm=cut pid=8343 prio=120 success=1 target_cpu=002
           <...>-8342  [000] .... 577872.914969: sched_process_exit: comm=cut pid=8342 prio=120
           <...>-8342  [000] d... 577872.914988: sched_wakeup: comm=sh pid=8337 prio=120 success=1 target_cpu=001
           <...>-8345  [000] .... 577872.917254: sched_process_exit: comm=sh pid=8345 prio=120
           <...>-8350  [000] dN.. 577872.918233: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
         rcuos/4-12    [000] d... 577872.937349: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577872.943334: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577872.943337: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/4-12    [000] d... 577872.949353: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=005
         rcuos/2-10    [000] d... 577872.955355: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577872.961343: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577872.961345: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577873.111144: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577873.116457: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577873.116459: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 577873.122456: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577873.166245: sched_wakeup: comm=gmain pid=20788 prio=120 success=1 target_cpu=000
         rcuos/2-10    [000] d... 577873.166964: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577873.172470: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577873.172473: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577873.617738: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577873.617743: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577873.730753: sched_wakeup: comm=tmut pid=8321 prio=120 success=1 target_cpu=000
           <...>-8321  [000] .... 577873.730759: sys_nanosleep -> 0x0
           <...>-8321  [000] d... 577873.730772: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8321  [000] .... 577873.730779: sys_futex(uaddr: 6010c0, op: 81, val: 1, utime: 12e, uaddr2: 0, val3: 7f7902745700)
           <...>-8321  [000] d... 577873.730782: sched_wakeup: comm=tmut pid=8330 prio=120 success=1 target_cpu=000
           <...>-8321  [000] .... 577873.730783: sys_futex -> 0x1
           <...>-8321  [000] .... 577873.730818: sched_process_exit: comm=tmut pid=8321 prio=120
     kworker/0:1-1492  [000] d... 577873.730838: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=003
           <...>-8330  [000] .... 577873.730844: sys_futex -> 0x0
           <...>-8330  [000] d... 577873.730850: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8330  [000] .... 577873.730855: sys_nanosleep(rqtp: 7f7901f43d50, rmtp: 7f7901f43d50)
          <idle>-0     [000] dN.. 577873.730868: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=000
         rcuos/0-8     [000] d... 577873.730874: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNh. 577873.730912: sched_wakeup: comm=tmut pid=8300 prio=120 success=1 target_cpu=000
           <...>-8300  [000] .... 577873.730917: sys_nanosleep -> 0x0
           <...>-8300  [000] .... 577873.730920: sys_nanosleep(rqtp: 7fffc2877070, rmtp: 7fffc2877070)
          <idle>-0     [000] dNs. 577873.736810: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=000
       rcu_sched-7     [000] d... 577873.736819: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577873.753820: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577873.753822: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577873.762845: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577873.908778: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
           <...>-8352  [000] dNs. 577873.913919: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8352  [000] dNs. 577873.913925: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-8352  [000] .... 577873.914145: sched_process_exit: comm=sh pid=8352 prio=120
           <...>-8354  [000] .... 577873.915956: sched_process_exit: comm=sh pid=8354 prio=120
         rcuos/6-14    [000] d... 577873.928947: sched_wakeup: comm=rcuos/7 pid=15 prio=120 success=1 target_cpu=003
          <idle>-0     [000] dNs. 577873.934931: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577873.934933: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577873.946953: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNs. 577873.952940: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577873.952942: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577874.112708: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577874.118061: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577874.118063: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 577874.124059: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dNh. 577874.516445: sched_wakeup: comm=gnome-settings- pid=1729 prio=120 success=1 target_cpu=000
           <...>-1729  [000] d... 577874.516507: sched_wakeup: comm=Xorg.bin pid=1093 prio=120 success=1 target_cpu=001
         rcuos/2-10    [000] d... 577874.613717: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=005
          <idle>-0     [000] dNs. 577874.619344: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 577874.619350: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] dN.. 577874.877492: sched_wakeup: comm=ksoftirqd/0 pid=3 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dN.. 577874.910932: sched_wakeup: comm=rcuos/6 pid=14 prio=120 success=1 target_cpu=000
           <...>-8366  [000] dNs. 577874.916525: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
           <...>-8366  [000] dNs. 577874.916531: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
           <...>-8366  [000] d... 577874.916948: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=003
           <...>-8366  [000] d... 577874.917895: sched_wakeup_new: comm=sh pid=8371 prio=120 success=1 target_cpu=001
           <...>-8366  [000] d... 577874.918045: sched_wakeup_new: comm=sh pid=8372 prio=120 success=1 target_cpu=002
           <...>-8372  [000] d... 577874.918503: sched_wakeup: comm=uname pid=8371 prio=120 success=1 target_cpu=004
           <...>-8372  [000] .... 577874.919208: sched_process_exit: comm=cut pid=8372 prio=120
           <...>-8372  [000] d... 577874.919224: sched_wakeup: comm=sh pid=8366 prio=120 success=1 target_cpu=001
           <...>-8374  [000] dN.. 577874.920353: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
         rcuos/0-8     [000] d... 577874.922542: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=002
         rcuos/0-8     [000] d... 577874.932552: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=003
       rcu_sched-7     [000] d... 577874.938547: sched_wakeup: comm=rcuos/2 pid=10 prio=120 success=1 target_cpu=004
          <idle>-0     [000] dNs. 577874.941538: sched_wakeup: comm=kworker/0:1 pid=1492 prio=120 success=1 target_cpu=000
